name,country,web_page,description,facultades_habilitadas
Tilburg University,Países Bajos,http://www.tilburguniversity.nl/,Intercambio con Tilburg University en Países Bajos. Dirigido a: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universiteit Leiden,Países Bajos,http://www.leidenuniv.nl/,Movilidad académica disponible en Universiteit Leiden para no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Windesheim,Países Bajos,http://www.windesheim.nl/,Convenio internacional con Windesheim. Facultades UM: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad Tecnológica de Panamá,Panamá,http://www.utp.ac.pa/,Estudiantes de la UM pueden realizar intercambio en Universidad Tecnológica de Panamá (Panamá). Facultades: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad Católica San Pablo,Perú,http://www.ucsp.edu.pe/,Universidad Católica San Pablo (Perú) – acuerdo de movilidad. Facultades UM aplicables: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad de Piura,Perú,http://www.udep.edu.pe/,Intercambio disponible en Universidad de Piura para estudiantes de no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad del Pacífico,Perú,https://montevideo.adv-pub.moveonca.com/report-page-1662/#,Programa de intercambio con Universidad del Pacífico. Estudiantes de: no especificadas pueden postular.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Szkoła Glowna Handlowa (SGH) w Warszawie,Polonia,http://www.sgh.waw.pl/,Estudiantes de la UM pueden realizar intercambio en Szkoła Glowna Handlowa (SGH) w Warszawie (Polonia). Facultades: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidade Católica Portuguesa,Portugal,http://www.ucp.pt/,Intercambio disponible en Universidade Católica Portuguesa para estudiantes de no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidade de Coimbra,Portugal,http://www.uc.pt/,Convenio internacional con Universidade de Coimbra. Facultades UM: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidade do Minho,Portugal,http://www.uminho.pt/,Programa de intercambio con Universidade do Minho. Estudiantes de: no especificadas pueden postular.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidade Nova de Lisboa,Portugal,http://www.unl.pt/,Acuerdo bilateral con Universidade Nova de Lisboa – Portugal. Áreas UM admitidas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Heriot-Watt University,Reino Unido,http://www.hw.ac.uk/,Heriot-Watt University (Reino Unido) – acuerdo de movilidad. Facultades UM aplicables: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
